month,Licor_7200_CO2,Aeris_CH4_C2H6,Aeris_N2O_CO,CAPS_NO2,EcoPhysics_NOX,2BTech_211_G,Vocus-PTR-ToF,MAGEE_AE33_Aethalometer,DMS_PAX_BlackCarbon,Palas_Fidas_PM,Airmar_WX200,ublox_M8Q_GPS,LabJack_T7_1,TSI_3788_CPC,TSI_3789_CPC
2/1/2025,2,4,9,4,3,3,2,6,6,6,0,0,0,4,4
3/1/2025,2,4,9,4,3,3,2,6,6,6,0,0,0,4,4
4/1/2025,2,4,9,4,3,3,2,6,6,6,0,0,0,4,4
5/1/2025,2,4,9,4,3,3,2,6,6,6,0,0,0,4,4
6/1/2025,2,4,9,4,3,3,2,6,6,6,0,0,0,4,4
7/1/2025,2,4,9,4,3,3,2,6,6,6,0,0,0,4,4
8/1/2025,2,4,9,4,3,3,2,6,6,6,0,0,0,4,4
9/1/2025,2,4,9,4,3,3,2,6,6,6,0,0,0,4,4
10/1/2025,2,4,10,4,3,3,1,6,6,6,0,0,0,4,4
11/1/2025,2,4,10,4,3,3,1,6,6,6,0,0,0,4,4
12/1/2025,2,4,10,4,3,3,1,6,6,6,0,0,0,4,4
1/1/2026,2,4,10,4,3,3,1,6,6,6,0,0,0,4,4
